Full Name,Phone,Email,Age,Experience,Yearly Income,Has children,License states,Expiration date,License number
Alex Cho,+18900991919,cho.cho,"12
",45,1200.11," TRUE",Alabama,12-12-2030,1xr567
Taj Walker,2345678910,tajWal@mail.con,34,23,56000.34,FALSE,Alaska,2034-12-05,pdkfr5
Lola Morris,15678903425,LolaMorris@send.me,32,20,43042,TRUE,Arizona,23-09-2014,12pdl34
Adonis Carter,+10984736289,adonCarter@gmail.com,34,13,10000.50,FALSE,Florida,09-30-2021,oplk43
Camila Clark,19034567821,CamilaClark@com,21,1,2100,,Georgia,03/03/2035,23jdf
Yasin Taylor,+19876402934,yaTaylor,49,23,345000,TRUE,Hawaii,08/09/2045,herdps
Elizabeth Wright," 2340958174",eli.wright@mail.me,54,10,23000,"srjkmukk ",Iowa,2025-01-01,12345l
Tanner Smith,10983742589,tanner.smith,45,34,35000.45,TRUE,Louisiana,23-09-2040,erdp
Urbana Rivera,+13456892034,UrbanaRivera@com,34,21,3450000,FALSE,New York,12/12/2029,23hdp9
Raphael Garcia,12345,RaphaelGarcia,49,12,45900,TRUE,Rhode Island,2029-19-04,skk432
Damaris Flores,+234567,Dam.flores@mail.com,35,18,60700,TRUE,Vermont,23/12/2039,plo4pd
Cecelia Parker,+19084329485,c.parker@mail,27,13,134000,scsgffj,Washington,12/04/2040,0opld43
Matias Phillips,13459029845,MatiasPhillips,45,16,78900," FALSE",West Virginia,29/09/2028,lkj4hd
Betty Walker,+10987654321,BettyWalker@gmail.com,35,15,1200000,TRUE,Wisconsin,09-09-2036," 9i4kh"
Hugh Davis,09384,HughDavis@maol.com,45,20,456790,FALSE,Wyoming,2012-23-12,djk34
Uri Cooper,8290357094,UriCooper@send.com,47,18,123456,,South Carolina,2023-12-12,lska3m
,,,,,,,,,
